,Downtrend Performance (%),Rebound Performance (%),Combined Score
1000000MOGUSDT,-7.773109243697474,0.0,-7.773109243697474
1000BONKUSDT,1.11362964422983,0.0,1.11362964422983
1000CATUSDT,4.093567251461994,0.0,4.093567251461994
1000CHEEMSUSDT,-2.3024537887795904,0.0,-2.3024537887795904
1000FLOKIUSDT,2.0107238605898026,0.0,2.0107238605898026
1000LUNCUSDT,3.096029386041632,0.0,3.096029386041632
1000PEPEUSDT,6.272017683221676,0.0,6.272017683221676
1000RATSUSDT,5.243600330305531,0.0,5.243600330305531
1000SATSUSDT,0.4125412541254203,0.0,0.4125412541254203
1000SHIBUSDT,4.873646209386284,0.0,4.873646209386284
1000WHYUSDT,7.636363636363641,0.0,7.636363636363641
1000XECUSDT,0.24740227610093868,0.0,0.24740227610093868
1000XUSDT,6.622353520433277,0.0,6.622353520433277
1INCHUSDT,-2.6415094339622636,0.0,-2.6415094339622636
1MBABYDOGEUSDT,4.80751519616871,0.0,4.80751519616871
AAVEUSDT,3.723463376681102,0.0,3.723463376681102
ACEUSDT,3.120243531202438,0.0,3.120243531202438
ACHUSDT,3.4640878961227584,0.0,3.4640878961227584
ACTUSDT,0.5061573784178597,0.0,0.5061573784178597
ACXUSDT,6.281292671825223,0.0,6.281292671825223
ADAUSDT,-4.571191824333654,0.0,-4.571191824333654
AERGOUSDT,3.120124804992197,0.0,3.120124804992197
AEROUSDT,-3.624618697290505,0.0,-3.624618697290505
AEVOUSDT,1.6216216216216273,0.0,1.6216216216216273
AGLDUSDT,-2.49520153550864,0.0,-2.49520153550864
AI16ZUSDT,-5.946225439503616,0.0,-5.946225439503616
AIUSDT,3.5545841481652074,0.0,3.5545841481652074
AIXBTUSDT,-3.289051763628026,0.0,-3.289051763628026
AKTUSDT,-5.263157894736836,0.0,-5.263157894736836
ALCHUSDT,3.1220962646348216,0.0,3.1220962646348216
ALGOUSDT,-3.6120732310737313,0.0,-3.6120732310737313
ALICEUSDT,0.591715976331364,0.0,0.591715976331364
ALPACAUSDT,23.44276841171251,0.0,23.44276841171251
ALPHAUSDT,4.018717313514997,0.0,4.018717313514997
ALTUSDT,3.3714815960408373,0.0,3.3714815960408373
ANIMEUSDT,1.183431952662728,0.0,1.183431952662728
ANKRUSDT,0.5858230814294263,0.0,0.5858230814294263
APEUSDT,4.80890382192356,0.0,4.80890382192356
API3USDT,0.18409425625920406,0.0,0.18409425625920406
APTUSDT,-7.871192279973982,0.0,-7.871192279973982
ARBUSDT,-3.498293515358375,0.0,-3.498293515358375
ARCUSDT,-14.397660818713454,0.0,-14.397660818713454
ARKMUSDT,0.951002687616298,0.0,0.951002687616298
ARKUSDT,0.46933667083854935,0.0,0.46933667083854935
ARPAUSDT,1.4553810800459477,0.0,1.4553810800459477
ARUSDT,-8.377206565500162,0.0,-8.377206565500162
ASTRUSDT,1.3075365877941003,0.0,1.3075365877941003
ATAUSDT,0.0,0.0,0.0
ATOMUSDT,2.415074309978782,0.0,2.415074309978782
AUCTIONUSDT,14.919138270573495,0.0,14.919138270573495
AVAAIUSDT,-3.854389721627405,0.0,-3.854389721627405
AVAUSDT,-1.7212992067055954,0.0,-1.7212992067055954
AVAXUSDT,-3.812365324051059,0.0,-3.812365324051059
AXLUSDT,6.9985775248933235,0.0,6.9985775248933235
AXSUSDT,-0.2583144979011909,0.0,-0.2583144979011909
B3USDT,22.847100175746917,0.0,22.847100175746917
BADGERUSDT,-26.74970344009491,0.0,-26.74970344009491
BAKEUSDT,4.227642276422783,0.0,4.227642276422783
BALUSDT,-0.20174848688635505,0.0,-0.20174848688635505
BANANAUSDT,-2.2026431718061623,0.0,-2.2026431718061623
BANDUSDT,1.2457382638342507,0.0,1.2457382638342507
BANUSDT,2.851711026615966,0.0,2.851711026615966
BATUSDT,2.5290498974709363,0.0,2.5290498974709363
BBUSDT,2.97134771842944,0.0,2.97134771842944
BCHUSDT,-3.9091534755677837,0.0,-3.9091534755677837
BEAMXUSDT,-2.6736111111111183,0.0,-2.6736111111111183
BELUSDT,-1.6639670151671448,0.0,-1.6639670151671448
BERAUSDT,-2.90560967416863,0.0,-2.90560967416863
BICOUSDT,2.695417789757415,0.0,2.695417789757415
BIGTIMEUSDT,2.834096359276206,0.0,2.834096359276206
BIOUSDT,6.174334140435822,0.0,6.174334140435822
BLURUSDT,-1.3946330672309437,0.0,-1.3946330672309437
BNBUSDT,-0.9910856645890531,0.0,-0.9910856645890531
BNTUSDT,-1.4918298615442138,0.0,-1.4918298615442138
