Timeframe,Window Size,Risk Profile,Suggested Downtrend Threshold,Suggested Rebound Threshold,Downtrend Percentile,Rebound Percentile
15m,1,Conservative,-0.5,0.5,10,90
15m,1,Moderate,-0.5,0.5,5,95
15m,1,Aggressive,-1.0,1.0,1,99
15m,3,Conservative,-1.0,1.0,10,90
15m,3,Moderate,-1.0,1.5,5,95
15m,3,Aggressive,-2.0,2.5,1,99
15m,5,Conservative,-1.5,1.0,10,90
15m,5,Moderate,-1.5,1.5,5,95
15m,5,Aggressive,-2.5,3.0,1,99
15m,10,Conservative,-1.5,2.0,10,90
15m,10,Moderate,-2.0,2.5,5,95
15m,10,Aggressive,-3.5,3.0,1,99
15m,20,Conservative,-2.5,2.0,10,90
15m,20,Moderate,-2.5,2.5,5,95
15m,20,Aggressive,-3.5,4.5,1,99
1h,1,Conservative,-1.5,1.0,10,90
1h,1,Moderate,-2.0,1.5,5,95
1h,1,Aggressive,-4.0,2.5,1,99
1h,3,Conservative,-2.5,1.5,10,90
1h,3,Moderate,-3.5,2.0,5,95
1h,3,Aggressive,-5.0,2.5,1,99
1h,5,Conservative,-3.0,2.0,10,90
1h,5,Moderate,-4.0,2.5,5,95
1h,5,Aggressive,-7.5,3.5,1,99
1h,10,Conservative,-4.0,3.0,10,90
1h,10,Moderate,-7.5,3.5,5,95
1h,10,Aggressive,-11.5,4.5,1,99
1h,20,Conservative,-7.5,3.0,10,90
1h,20,Moderate,-9.5,4.0,5,95
1h,20,Aggressive,-10.5,5.0,1,99
1m,1,Conservative,0.0,0.0,10,90
1m,1,Moderate,0.0,0.0,5,95
1m,1,Aggressive,-0.5,0.5,1,99
1m,3,Conservative,-0.5,0.0,10,90
1m,3,Moderate,-0.5,0.5,5,95
1m,3,Aggressive,-0.5,0.5,1,99
1m,5,Conservative,-0.5,0.5,10,90
1m,5,Moderate,-0.5,0.5,5,95
1m,5,Aggressive,-0.5,0.5,1,99
1m,10,Conservative,-0.5,0.5,10,90
1m,10,Moderate,-0.5,0.5,5,95
1m,10,Aggressive,-1.0,1.0,1,99
1m,20,Conservative,-1.0,0.5,10,90
1m,20,Moderate,-1.0,1.0,5,95
1m,20,Aggressive,-1.0,1.5,1,99
4h,1,Conservative,-2.5,2.0,10,90
4h,1,Moderate,-3.0,2.5,5,95
4h,1,Aggressive,-7.0,4.5,1,99
4h,3,Conservative,-4.5,3.0,10,90
4h,3,Moderate,-7.5,4.5,5,95
4h,3,Aggressive,-10.5,9.5,1,99
4h,5,Conservative,-7.5,4.0,10,90
4h,5,Moderate,-9.0,5.0,5,95
4h,5,Aggressive,-12.0,10.0,1,99
4h,10,Conservative,-8.5,3.5,10,90
4h,10,Moderate,-12.5,6.0,5,95
4h,10,Aggressive,-15.0,10.5,1,99
4h,20,Conservative,-12.5,3.0,10,90
4h,20,Moderate,-15.0,4.5,5,95
4h,20,Aggressive,-17.0,8.5,1,99
5m,1,Conservative,-0.5,0.5,10,90
5m,1,Moderate,-0.5,0.5,5,95
5m,1,Aggressive,-0.5,0.5,1,99
5m,3,Conservative,-0.5,0.5,10,90
5m,3,Moderate,-0.5,0.5,5,95
5m,3,Aggressive,-1.0,1.0,1,99
5m,5,Conservative,-0.5,0.5,10,90
5m,5,Moderate,-0.5,0.5,5,95
5m,5,Aggressive,-1.0,1.0,1,99
5m,10,Conservative,-0.5,0.5,10,90
5m,10,Moderate,-1.0,0.5,5,95
5m,10,Aggressive,-1.5,1.0,1,99
5m,20,Conservative,-1.0,0.5,10,90
5m,20,Moderate,-1.0,1.0,5,95
5m,20,Aggressive,-1.5,1.5,1,99
