Timeframe,Window Size,Sample Size,Min,Max,Mean,Median,Std Dev,1% Percentile,5% Percentile,10% Percentile,25% Percentile,50% Percentile,75% Percentile,90% Percentile,95% Percentile,99% Percentile
15m,1,199,-1.8073391138916262,2.1064627600911656,-0.002874743859224695,-0.016285190457920873,0.4747060277724468,-0.9960780622685275,-0.7301958967189537,-0.5342102632200962,-0.2820378887579411,-0.016285190457920873,0.2318885016169947,0.5202367503167119,0.6941397419196325,1.24565985850609
15m,3,197,-2.3899456027598687,2.831740457288534,0.008558223071814003,-0.01599982933515598,0.8124493562370095,-1.9248242370071278,-1.246601255303672,-0.9918242313648838,-0.4649397983123249,-0.01599982933515598,0.4198340935157807,0.9024799117704599,1.3875777083293288,2.3396039032444067
15m,5,195,-2.5155569383945253,3.29660838537984,0.007697705239363443,0.06982030458451138,1.027059925930939,-2.404489450246865,-1.657445537117378,-1.3536556850389747,-0.6161539564058127,0.06982030458451138,0.5689641309884808,1.0913917989068178,1.7495145610268579,2.8321584818865433
15m,10,190,-4.123867069486398,3.17076653743833,-0.026733306591568126,-0.20782980349515756,1.3924185263263171,-3.428181086718206,-2.044121698840254,-1.4688671271621279,-0.8918073919917863,-0.20782980349515756,0.8993337960853387,1.8517965949628201,2.2816487963420324,3.068479775935379
15m,20,180,-3.8566458041670137,5.463398308241252,-0.09808804106373847,-0.06319348453603935,1.819587100577036,-3.6229268686234106,-2.6823270641439754,-2.33893822928808,-1.7490590641382309,-0.06319348453603935,1.3801225074001,2.0372213000367956,2.3400100656748415,4.328901481038831
1h,1,199,-4.8344768215375815,2.725880985456297,-0.07757735149181419,0.08462275923755147,1.058265613569457,-3.870026246183423,-1.7830544969403528,-1.2929442096547605,-0.5204585081622248,0.08462275923755147,0.4745459647450878,0.9502594604805649,1.3550768003169626,2.509029356797125
1h,3,197,-9.568713776468895,3.4205231388330093,-0.24620029245656194,-0.06894630863291118,1.7648461266108761,-5.191011838145337,-3.2555869915472786,-2.3980644849243338,-0.9964409580360045,-0.06894630863291118,0.922865013774099,1.7213823791523453,1.8902978710429916,2.6806594262643477
1h,5,195,-12.42564060707032,4.535857064768867,-0.39525948615120543,-0.2444961952589919,2.3487509184098525,-7.549295866798488,-3.9155673803597266,-2.9629924232831995,-1.7112309806705917,-0.2444961952589919,1.3140993587877792,2.241683492340867,2.586586211763255,3.412838282933015
1h,10,190,-11.571967112044012,5.933549540009264,-0.7737383491733063,-0.550634470209771,3.3169173222993034,-11.338525325360251,-7.330706693989197,-4.099651254721496,-2.2122500471986273,-0.550634470209771,1.5207522900325565,2.877911830637996,3.6313858584168246,4.3547622730069495
1h,20,180,-12.485579823820448,6.759767908751968,-1.725668809503378,-1.6045813400483444,4.032758884030187,-10.600349977569355,-9.35079160263173,-7.6522584206823385,-4.236349646418619,-1.6045813400483444,1.5627074041851263,3.0075982628351823,3.8823171824467173,5.203471108689844
1m,1,199,-0.5233947997514643,0.4264097574462111,-0.006095453383895518,-0.004759587925462494,0.14417291845740832,-0.3046949169178872,-0.22197629846862021,-0.1758928521092873,-0.0990954226102514,-0.004759587925462494,0.07965154152222986,0.1668694133239646,0.2235985990872491,0.35683448528645095
