,symbol,mean_abnormal_return,std_dev,t_statistic,p_value,significant,sample_size,effect_size,effect_interpretation
10,TRUMPUSDT,2.2168010815216515,4.927650727952111,6.314223064711936,1.7647724360165135e-09,True,198,0.4498697663263433,小效應
72,EIGENUSDT,1.6574241626631192,2.934549916030931,7.927299706199723,1.6286612598783642e-13,True,198,0.564796718436753,中等效應
9,ADAUSDT,1.5785494754001828,3.04500418748472,7.276179713434164,7.96195503687358e-12,True,198,0.5184063397640579,中等效應
79,NEIROUSDT,1.5353711965582386,2.491970116146913,8.647760875392569,1.8310444149621164e-15,True,198,0.6161274513725835,中等效應
53,AIXBTUSDT,1.5347168821392796,2.685349852532548,8.021590897082165,9.146033720967249e-14,True,198,0.5715146876269739,中等效應
24,WIFUSDT,1.521047998536545,2.7154894922284245,7.861907059442065,2.4253640189301317e-13,True,198,0.5601376852643685,中等效應
25,ENAUSDT,1.5073507529576506,2.336088414883109,9.056453459095705,1.3331023172491586e-16,True,198,0.6452455923133689,中等效應
65,ETHFIUSDT,1.5025350660002408,2.586908196899275,8.152235415076335,4.0896605142297513e-14,True,198,0.580822724131151,中等效應
2,XRPUSDT,1.477379000708107,2.6910845285460336,7.705444476531378,6.247234827539995e-13,True,198,0.5489901877984933,中等效應
6,PEPEUSDT,1.463420945507628,2.160308789127474,9.507942512287473,6.990567494259661e-18,True,198,0.6774128554551168,中等效應
38,CRVUSDT,1.4583594394614965,2.382250823985267,8.592315278891162,2.6024138177361784e-15,True,198,0.6121771161870383,中等效應
34,PNUTUSDT,1.4369775884574538,2.644373876322381,7.62711421165884,9.996202236716942e-13,True,198,0.5434093875015534,中等效應
74,ORDIUSDT,1.431869957092771,2.48494639197058,8.087600044631206,6.094755198234772e-14,True,198,0.5762176446620598,中等效應
7,DOGEUSDT,1.4262964766213135,2.296926785568544,8.715569494926754,1.1896319975533923e-15,True,198,0.6209586154781469,中等效應
63,PENDLEUSDT,1.4257504324683996,2.3166442334104445,8.63808116968189,1.947078801763867e-15,True,198,0.6154378008959465,中等效應
42,WLDUSDT,1.4168548643616454,2.536367131211547,7.840546992034969,2.7613149376512307e-13,True,198,0.5586158434740699,中等效應
8,BNXUSDT,1.413750108071786,2.3619204134159992,8.358429758632854,1.1845235101615837e-14,True,196,0.5985595873770814,中等效應
55,ENSUSDT,1.4061161979905699,2.233549636153978,8.836061217001326,5.509540164318024e-16,True,198,0.6295432952239232,中等效應
64,INJUSDT,1.3914335229834967,2.1550759423291432,9.062186519034674,1.2845559077255882e-16,True,198,0.6456540559214242,中等效應
14,LINKUSDT,1.3880448588342005,2.1520961323128076,9.052633705214085,1.3664544874064482e-16,True,198,0.6449734461176234,中等效應
81,GALAUSDT,1.3839936331968297,2.3270553774917464,8.347578020983976,1.2138342127946038e-14,True,198,0.5947403085390212,中等效應
69,ARKMUSDT,1.3781478313592153,2.3830012245272427,8.117170224223685,5.0788757106280927e-14,True,198,0.5783244327256367,中等效應
